Command Set, Command, Cost, Min Cost, Max Cost, Occurrence
1, 1, 0.026, 0.016, 0.058, 0.000009
1, 2, 0.535, 0.451, 0.602, 0.000004
1, 5, 0.024, 0.011, 0.055, 0.000009
1, 6, 0.013, 0.008, 0.028, 0.000004
1, 7, 0.041, 0.020, 0.065, 0.000009
1, 8, 0.322, 0.013, 1.720, 0.000029
1, 9, 0.554, 0.007, 3.869, 0.000087
1, 11, 0.043, 0.023, 0.089, 0.000008
1, 12, 0.017, 0.012, 0.042, 0.000009
1, 14, 0.656, 0.062, 3.996, 0.000010
1, 17, 0.019, 0.013, 0.062, 0.000009
1, 20, 1.779, 0.938, 2.255, 0.000009
2, 2, 0.020, 0.007, 0.692, 0.000100
2, 6, 0.029, 0.012, 0.096, 0.000020
2, 7, 0.019, 0.006, 1.401, 0.000421
2, 10, 0.016, 0.004, 0.959, 0.001714
2, 12, 0.018, 0.006, 0.710, 0.000477
2, 14, 0.026, 0.005, 0.339, 0.000118
2, 15, 0.059, 0.008, 1.115, 0.000854
2, 18, 0.352, 0.033, 1.259, 0.000011
3, 1, 0.019, 0.004, 1.481, 0.000946
3, 3, 0.024, 0.005, 0.285, 0.000085
4, 1, 3.047, 1.364, 10.820, 0.000068
5, 1, 0.013, 0.007, 0.040, 0.000006
6, 1, 0.017, 0.004, 1.697, 0.002820
6, 3, 0.022, 0.007, 0.121, 0.000071
6, 4, 0.024, 0.005, 0.139, 0.000108
6, 5, 0.040, 0.012, 1.189, 0.000051
9, 1, 0.021, 0.006, 0.733, 0.000228
9, 2, 0.035, 0.009, 4.440, 0.000247
9, 6, 0.014, 0.004, 1.303, 0.001063
9, 7, 0.014, 0.005, 0.425, 0.000527
9, 8, 0.009, 0.003, 0.266, 0.000451
10, 1, 0.023, 0.008, 1.063, 0.000166
11, 1, 0.017, 0.006, 0.089, 0.000050
11, 2, 0.018, 0.008, 0.557, 0.000013
11, 3, 0.011, 0.006, 20.332, 0.982758
11, 4, 0.019, 0.005, 0.244, 0.000087
11, 5, 0.048, 0.021, 0.152, 0.000008
11, 6, 0.090, 0.027, 3.129, 0.004932
11, 7, 0.092, 0.032, 0.692, 0.000129
11, 12, 0.015, 0.008, 0.084, 0.000015
12, 1, 0.031, 0.015, 0.113, 0.000008
13, 1, 0.012, 0.008, 0.058, 0.000022
13, 2, 0.019, 0.013, 0.338, 0.000020
13, 3, 0.024, 0.011, 0.197, 0.000068
14, 1, 1.715, 1.006, 5.188, 0.000007
15, 1, 0.080, 0.004, 15.624, 0.000688
15, 2, 0.029, 0.004, 1.121, 0.000282
16, 1, 2.056, 0.013, 9.603, 0.000099
16, 3, 0.436, 0.148, 13.772, 0.000058
17, 1, 0.023, 0.011, 0.056, 0.000008
